Загрузка грузовика,Описание,Цена (CAD)
Минимальный вызов,"1–2 предмета (диван, холодильник, матрас)",99
¼ кузова,"1 комната или небольшой гараж",150
½ кузова,"2–3 комнаты или стандартный гараж",275
¾ кузова,"3+ комнаты, подвал, крупная уборка",325
Полный кузов,"Полный дом, коммерческий вывоз, стройка",400
